Name,Phone,Email,Mission_Statement,address1,address2,address3,city,state,zip,country
BIG BROTHERS BIG SISTERS OF BERKS COUNTY,610-373-5544,email@bigsinberks.org,"We strive to foster positive and measurable growth for at-risk youth including a strengthened sense of self-worth;development of character; and improved relationships & performance at home, in school, and throughout the community.  We achieve our goals through four (4) mentoring programs utilizing carefully-screened and trained volunteers.",303 Windsor St.,Centre Park," ",Reading,PA,19601,US
LGBT CENTER OF GREATER READING,610-864-5800,mdech@lgbtcenterofreading.com,"The LGBT Center of Greater Reading creates, administers, and provides services, advocacy, and support to the Greater Reading LGBTQ+ community, including our allies, with the goal that all may live a life of fulfillment, inclusion and celebration.",1501 N. 13th Street," "," ",Reading,PA,19604,US
CASA FOR BERKS COUNTY,610-301-8634,nancy@casaberks.org,"Court Appointed Special Advocates advocate for abused and neglected children with the belief that all children deserve safe, nurturing & permanent homes.",845 North Park Road,Suite 307," ",Wyomissing,PA,19610,US
"NAMI BERKS COUNTY, PA",610-685-3000,berksnami@gmail.com,"Recognizing that people affected by mental illness often serve as vital components of society in a wide variety of ways, NAMI Berks County PA is a grassroots mental health organization of families and individuals whose lives have been affected by mental illness. We are an Affiliate of NAMI and of NAMI Keystone, PA. We advocate for lives of quality and respect, without discrimination and stigma, for all of our constituents. We provide leadership in advocacy, legislation policy development, education and support throughout Berks County.",640 Centre Avenue," "," ",Reading,PA,19601,US
OLIVET BOYS AND GIRLS CLUB,610-373-1314,Abigail.Goldberg@olivetbgc.org,"Olivet Boys & Girls Club enables all young people, especially those who need us most, to reach their full potential as healthy, productive, caring, responsible citizens."," "," "," "," ",PA," ",US
COLEBROOKDALE RAILROAD,610-367-0200,volunteer@colebrookdalerailroad.com.,The Trust is a 501(c)3 non-profit organization and donations to it are tax-deductible. We seek your support in pursuing our goal to establish a dedicated tourist railroad based on the Colebrookdale Railroad.,Colebrookdale Railroad Preservation Trust,100 S Chestnut Street," ",Boyertown,PA,19512,US
GIRL SCOUTS OF EASTERN PA,215-564-2030,memberservices@gsep.org,"Girl Scouting builds girls of courage, confidence, and character, who make the world a better place.",330 Manor Road," "," ",Miquon (Lafayette Hill),PA,19444,US
HOPEWELL FURNACE NATIONAL HISTORIC SITE,610-582-8773," ","The National Park Service preserves unimpaired the natural and cultural resources and values of the National Park System for the enjoyment, education, and inspiration of this and future generations. The Park Service cooperates with partners to extend the benefits of natural and cultural resource conservation and outdoor recreation throughout this country and the world.",2 Mark Bird Lane," "," ",Elverson,PA,19520,US
Abilities in Motion,610-376-0010,dvavreck@abilitiesinmotion.org.,"Abilities in Motion is a human services agency promoting empowerment, advocacy, education for individuals with disabilities. AIM works to help people with disabilities live independent lives.",210 North Fifth Street," "," ",Reading,PA,19601,US
Berks County Community Foundation,610-685-2223,info@bccf.org,"The mission of Berks County Community Foundation is to promote philanthropy and improve the quality of life for the residents of Berks County, Pennsylvania.",237 Court St.," "," ",Reading,PA,19601,US
Genesius Theatre,610-371-8151,info@genesiustheatre.org,"We produce a wide range of theatrical productions in an intimate space: Broadway musicals, thought provoking plays, childrens theatre, theatrical concerts, and other special events.",153 North 10th St," "," ",Reading,PA,19601,US
"The Junior League of Reading, PA, Inc.",610-374-9811," ","The Junior League of Reading, PA, Inc. (JLR) is an organization of women committed to promoting voluntarism, developing the potential of women, and improving communities.",1520 Penn Ave," "," ",Wyomissing,PA,19610,US
The King's Academy,610-926-9639," ","Providing Christ-centered academic excellence and training leaders in knowledge, wisdom, and godly character through Jr-K through 12 education.",1562 Main St.," "," ",Mohrsville,PA,19541,US
Vision Resource Center of Berks County,717-238-2531,ccuddy@vrocp.org,"We strive to prevent blindness and visual impairment, and to advocate and provide education, and support services to enrich the lives of the blind and visually impaired of the Berks County community.",2020 Hampden Blvd," "," ",Reading,PA,19604,US
Shady Hollow Assisted Riding,610-582-4050," ","We provide a supportive equine environment where individuals with physical, cognitive and/or emotional challenges can experience therapeutic, social and educational rewards.",959 East Main Street," "," ",Birdsboro,PA,19508,US
EasterSeals,610-289-0114,sschamberger@esep.org,"Easterseals Eastern Pennsylvania creates life-changing solutions for individuals with disabilities and their families in their community by increasing independence, maximizing opportunities, minimizing barriers and enhancing quality of life.",1501 Lehigh Street,Suite 201," ",Allentown,PA,18103,US
